customer_id,female_flag
3017000653.51,0
3017108284.782,0
3017125582.665,1
3017185164.262,1
3017192852.21,0
3017256277.781,1
3017323547.326,1
3017371597.001,0
3017402348.793,1
3017484994.234,1
3017531121.922,0
3017681036.908,1
3017717554.661,1
3017732930.557,1
3017750228.44,0
3017757916.388,0
3017892455.478,1
3017940505.153,1
3017984710.854,0
3018076966.23,0
3018113483.983,1
3018115405.97,1
3018169221.606,1
3018194207.437,1
3018228803.203,1
3018297994.735,0
3018342200.436,1
3018347966.397,1
3018349888.384,1
3018424845.877,1
3018459441.643,0
3018501725.357,0
3018503647.344,1
3018593980.733,0
3018640108.421,0
3018682392.135,1
3018690080.083,1
3018741973.732,0
3018782335.459,0
3018918796.536,1
3018938016.406,1
3018980300.12,1
3019068711.522,1
3019122527.158,1
3019178264.781,0
3019235924.391,1
3019241690.352,1
3019282052.079,1
3019406981.234,1
3019443498.987,1
3019456952.896,1
3019472328.792,1
3019514612.506,1
3019579960.064,0
3019603023.908,0
3019677981.401,1
3019699123.258,1
3019825974.4,1
3019827896.387,1
3019837506.322,1
3019862492.153,1
3019877868.049,1
3019931683.685,0
3019979733.36,1
3019991265.282,1
3019993187.269,1
3020091208.606,1
3020129648.346,1
3020191151.93,1
3020256499.488,1
3020283407.306,1
3020337222.942,1
3020362208.773,1
3020400648.513,1
3020414102.422,1
3020450620.175,1
3020456386.136,1
3020460230.11,1
3020617833.044,1
3020679336.628,1
3020683180.602,1
3020715854.381,1
3020736996.238,0
3020775435.978,1
3020794655.848,0
3020829251.614,1
3020871535.328,0
3020883067.25,1
3020896521.159,0
3020958024.743,1
3020963790.704,0
3020971478.652,1
3021019528.327,1
3021082953.898,1
3021100251.781,1
3021102173.768,1
3021106017.742,1
3021223258.949,1
3021229024.91,0
3021388549.831,0
3021448131.428,1
3021455819.376,1
3021467351.298,1
3021549996.739,1
3021586514.492,1
3021588436.479,1
3021590358.466,1
3021601890.388,0
3021613422.31,1
3021642252.115,1
3021644174.102,1
3021684535.829,1
3021696067.751,0
3021701833.712,1
3021788323.127,1
3021811386.971,1
3021820996.906,1
3021832528.828,1
3021834450.815,1
3021838294.789,1
3021845982.737,1
3021936316.126,1
3021949770.035,1
3021968989.905,1
3021997819.71,1
3021999741.697,1
3022013195.606,1
3022065089.255,1
3022109294.956,1
3022130436.813,1
3022143890.722,1
3022297649.682,1
3022332245.448,1
3022389905.058,1
3022443720.694,0
3022535976.07,0
3022545586.005,1
3022587869.719,0
3022593635.68,1
3022618621.511,1
3022720486.822,1
3022732018.744,1
3022789678.354,1
3022845415.977,1
3022908841.548,1
3022910763.535,1
3022972267.119,1
3023004940.898,1
3023039536.664,0
3023110650.183,1
3023218281.455,1
3023220203.442,0
3023295160.935,1
3023347054.584,1
3023543097.258,1
3023573849.05,0
3023598834.881,1
3023619976.738,1
3023729529.997,1
3023739139.932,1
3023750671.854,1
3023781423.646,1
3023833317.295,1
3023860225.113,1
3023879444.983,0
3023900586.84,1
3023954402.476,1
3023965934.398,1
3023979388.307,0
3024006296.125,1
3024108161.436,1
3024160055.085,1
3024213870.721,1
3024384927.564,1
3024419523.33,1
3024446431.148,0
3024542530.498,0
3024544452.485,1
3024579048.251,0
3024586736.199,1
3024611722.03,1
3024630941.9,1
3024694367.471,1
3024752027.081,1
3024788544.834,1
3024823140.6,1
3024830828.548,1
3025003807.378,1
3025055701.027,1
3025067232.949,0
3025101828.715,1
3025163332.299,0
3025174864.221,1
3025301715.363,1
3025343999.077,0
3025355530.999,1
3025372828.882,0
3025395892.726,1
3025453552.336,1
3025488148.102,1
3025530431.816,0
3025549651.686,1
3025582325.465,1
3025614999.244,0
3025630375.14,1
3025634219.114,0
3025645751.036,1
3025651516.997,1
3025691878.724,1
3025749538.334,1
3025793744.035,1
3025889843.385,1
3025918673.19,1
3025964800.878,0
3026026304.462,1
3026032070.423,1
3026049368.306,1
3026058978.241,1
3026158921.565,1
3026189673.357,0
3026231957.071,1
3026253098.928,1
3026258864.889,1
3026454907.563,1
3026468361.472,1
3026487581.342,1
3026512567.173,1
3026527943.069,0
3026554850.887,1
3026604822.549,1
3026685546.003,1
3026752815.548,1
3026754737.535,1
3026762425.483,1
3026843148.937,1
3026900808.547,1
3026929638.352,1
3026931560.339,1
3026937326.3,0
3026939248.287,1
3026991141.936,0
3027050723.533,1
3027121837.052,0
3027146822.883,1
3027162198.779,1
3027208326.467,1
3027217936.402,1
3027269830.051,1
3027314035.752,1
3027367851.388,1
3027460106.764,1
3027471638.686,1
3027475482.66,1
3027525454.322,1
3027558128.101,1
3027577347.971,1
3027581191.945,1
3027619631.685,1
3027792610.515,1
3027871411.982,1
3027902163.774,1
3027932915.566,1
3027992497.163,1
3028050156.773,1
3028111660.357,1
3028127036.253,0
3028144334.136,1
3028161632.019,1
3028203915.733,1
3028263497.33,1
3028288483.161,1
3028309625.018,1
3028469149.939,1
3028476837.887,1
3028503745.705,0
3028590235.12,0
3028603689.029,1
3028682490.496,1
3028786277.794,1
3028801653.69,1
3028847781.378,1
3028888143.105,0
3028909284.962,1
3028911206.949,1
3028930426.819,1
3028959256.624,1
3029038058.091,1
3029051512.0,1
3029116859.558,1
3029134157.441,1
3029180285.129,0
3029211036.921,1
3029251398.648,1
3029384015.751,1
3029433987.413,1
3029451285.296,1
3029547384.646,1
